title,genres,year,rating
"""BLOW THE NIGHT!"" Let's Spend the Night Together",Documentary|Drama,1983.0,2.0
"""Great Performances"" Cats",Musical,1998.0,2.91
"""Sr.""",Documentary,2022.0,3.23
#1 Cheerleader Camp,Comedy|Drama,2010.0,2.17
#Alive,Action|Horror|Thriller,2020.0,3.32
#AnneFrank. Parallel Stories,Documentary,2019.0,2.58
#Captured,Horror,2017.0,2.25
#Female Pleasure,Documentary,2018.0,3.9
#FollowMe,Horror|Thriller,2019.0,2.0
#FriendButMarried,Comedy|Drama|Romance,2018.0,0.75
#FriendButMarried 2,Drama,2020.0,1.0
#Horror,Drama|Horror|Mystery|Thriller,2015.0,2.11
#Iamhere,Comedy|Romance,2020.0,3.14
#Introductions,Drama,2015.0,2.0
#Lucky Number,Comedy,2015.0,1.75
#MenToo,Comedy|Drama,2023.0,4.5
#Roxy,Comedy|Romance,2018.0,0.75
#SCREAMERS,Horror,2016.0,2.5
#Selfie69,Action|Comedy|Romance,2016.0,2.5
#SquadGoals,Drama|Thriller,2018.0,1.0
#Stuck,Comedy|Drama|Romance,2014.0,2.25
#UNFIT: The Psychology of Donald Trump,Documentary,2019.0,3.0
#Unknown,Horror|Thriller,2022.0,2.0
#Xmas,Comedy|Drama|Romance,2022.0,0.75
#cats_the_mewvie,Documentary,2020.0,1.88
#realityhigh,Comedy,2017.0,3.0
$ (Dollars),Comedy|Crime|Drama,1971.0,2.75
"$1,000 on the Black",Western,1966.0,3.33
"$100,000 for Ringo",Drama|Western,1965.0,2.5
$5 a Day,Comedy|Drama,2008.0,2.94
$50K and a Call Girl: A Love Story,Drama,2014.0,3.75
$9.99,Animation,2008.0,3.16
$ellebrity (Sellebrity),Documentary,2012.0,2.7
$uperthief: Inside America's Biggest Bank Score,(no genres listed),2012.0,5.0
'49-'17,Comedy|Western,1917.0,2.6
'63 Boycott,Documentary,2016.0,2.5
'68,(no genres listed),1988.0,1.5
'71,Action|Drama|Thriller|War,2014.0,3.66
'77,(no genres listed),2007.0,3.3
'77 No Commercial Use,(no genres listed),2017.0,1.0
'83,Drama,2021.0,3.65
'85: The Greatest Team in Pro Football History,Documentary,2016.0,2.25
'A Santanotte,Drama|Romance,1922.0,0.5
'Gator Bait,Action|Thriller,1974.0,2.95
'Hellboy': The Seeds of Creation,Action|Adventure|Comedy|Documentary|Fantasy,2004.0,3.08
"'Human' Factor, The (Human Factor, The)",Drama|Thriller,1975.0,2.11
'Master Harold' ... And the Boys,Drama,2010.0,4.5
'Master Harold'... and the Boys,Drama,1985.0,4.0
'Neath Brooklyn Bridge,Comedy|Drama|Romance|War,1942.0,3.5
'Neath the Arizona Skies,Western,1934.0,2.2
'Pimpernel' Smith,Action,1941.0,3.12
'R Xmas,Crime|Drama,2001.0,2.7
'Round Midnight,Drama|Musical,1986.0,3.63
'Salem's Lot,Drama|Horror|Mystery|Thriller,2004.0,3.11
'Til Death Do Us Part,Thriller,2017.0,1.5
'Til Death Do Us Part Kourtney & Travis,Documentary,2023.0,1.75
'Til Kingdom Come,Documentary,2020.0,3.5
'Til Madness Do Us Part,Documentary,2013.0,2.94
'Til There Was You,Drama|Romance,1997.0,2.85
'Tis the Season for Love,Romance,2015.0,2.68
'Tis the Season to be Merry,Comedy|Romance,2021.0,5.0
'Twas the Fight Before Christmas,Documentary,2021.0,2.12
'Twas the Night,Children,2001.0,2.44
'Twas the Night Before Christmas,Animation|Children|Fantasy,1974.0,3.26
"'burbs, The",Comedy,1989.0,3.14
'night Mother,Drama,1986.0,3.46
(),Documentary,2003.0,1.0
(500) Days of Summer,Comedy|Drama|Romance,2009.0,3.74
(A)sexual,Documentary,2011.0,3.02
(Blooper) Bunny!,Animation|Children|Comedy,1991.0,4.0
(Dis)Honesty: The Truth About Lies,Documentary,2015.0,3.76
(Girl)Friend,Comedy|Romance,2018.0,2.5
(My) Truth: The Rape of 2 Coreys,Documentary,2020.0,0.5
(Nie)znajomi,Comedy|Drama,2019.0,4.0
(OO),Animation,2017.0,3.25
(T)ERROR,Documentary|Thriller,2015.0,3.52
(The New) War of the Buttons,Adventure|Children,2011.0,2.93
(UN)Ideal Man,Comedy|Romance|Sci-Fi,2020.0,2.71
(Untitled),Comedy|Drama,2009.0,3.44
(nostalgia),(no genres listed),1971.0,3.77
*batteries not included,Children|Comedy|Fantasy|Sci-Fi,1987.0,3.26
+1,Sci-Fi|Thriller,2013.0,2.85
...All the Marbles,Comedy|Drama,1981.0,2.49
...And God Spoke,Comedy,1993.0,2.98
...And Justice for All,Drama|Thriller,1979.0,3.63
...And Your Name Is Jonah,Drama,1979.0,2.75
...And the Earth Did Not Swallow Him,(no genres listed),1995.0,3.0
"...And the Third Year, He Resuscitated",Comedy,1980.0,3.0
...E fuori nevica!,Comedy,2014.0,3.0
...First Do No Harm,Drama,1997.0,2.5
...No Lies,Documentary|Drama,1973.0,4.5
...One Third of a Nation...,Drama,1939.0,3.0
...So Goes the Nation,Documentary,2006.0,3.5
...ing,Drama|Romance,2003.0,3.0
...tick... tick... tick...,Action|Drama,1970.0,3.1
...Για Πάντα,Drama|Romance,2020.0,4.5
.45,Crime|Drama|Thriller,2006.0,2.56
.hack//Beyond the World,Action|Animation|Sci-Fi,2012.0,3.17
.hack//G.U. Trilogy,Action|Adventure|Animation|Mystery,2007.0,2.0
0.0MHz,Horror,2019.0,2.69
0.5mm,Drama,2014.0,3.06
00 Schneider - Im Wendekreis der Eidechse,Comedy,2013.0,3.21
00 Schneider - Jagd auf Nihil Baxter,Comedy|Crime,1994.0,4.03
007 - For Our Eyes Only,Documentary,2020.0,2.25
008: Operation Exterminate,Action|Comedy,1966.0,3.0
009 Re: Cyborg,Action|Animation|Sci-Fi,2012.0,1.77
009-1: The End of the Beginning,Action|Sci-Fi,2013.0,2.17
07/27/1978,Comedy|Documentary,2017.0,3.25
08/15,Drama|War,1954.0,4.0
091: Police speaking,Crime|Drama,1960.0,3.5
09:06,Drama|Thriller,2009.0,2.17
0s & 1s,Comedy,2011.0,1.5
1,Action|Mystery|Romance,2014.0,3.12
1,Documentary,2013.0,3.91
1 Buck,Drama|Thriller,2017.0,2.8
1 Chance 2 Dance,(no genres listed),2014.0,3.43
1 Day,Crime|Documentary|Drama|Thriller,2009.0,1.5
1 Dimension,Fantasy,2013.0,4.0
1 Interrogation,Crime,2020.0,0.5
1 Journée,Drama,2007.0,3.5
1 Litre of Tears,Drama,2005.0,3.5
1 Mile to You,(no genres listed),2017.0,3.67
1 Night,Drama|Romance,2017.0,3.0
1 Night In San Diego,Comedy,2020.0,1.88
1 Out of 7,Drama,2012.0,3.25
1 P.M.,Documentary,1972.0,4.0
1%,Drama,2019.0,2.5
"1, 2, 3, Sun (Un, deuz, trois, soleil)",Drama,1993.0,2.68
"1, 2, 3, voleurs",Crime,2011.0,3.25
1-900 (06),Drama|Romance,1994.0,3.38
1-Ichi,Action|Thriller,2003.0,2.0
1. Mai,Drama,2008.0,4.25
1/1,Drama,2018.0,3.5
10,Comedy|Romance,1979.0,2.87
10 000 timmar,Comedy,2014.0,2.11
10 Attitudes,Comedy|Drama|Romance,2001.0,3.5
10 Billion: What's On Your Plate,Documentary,2015.0,3.33
10 Cent Pistol,Crime|Thriller,2015.0,1.44
